n,pregunta,respuesta
1,Que problema estan resolviendo,Identificar que factores y plataformas se asocian con mayor probabilidad de recibir oferta laboral y mejores salarios en recien graduados.
2,Que decision se podria tomar con estos datos,"Priorizar estrategias de busqueda en Handshake, que muestra 36.99% de tasa de oferta en este corte."
3,Quien usaria este analisis,"Analistas de insercion laboral, oficinas de carrera universitaria y equipos de orientacion profesional."
4,Por que es importante,"Porque permite asignar tiempo y recursos a acciones con mayor retorno en entrevistas, ofertas y salario."
5,"El problema es descriptivo, predictivo o explicativo","Descriptivo y explicativo en el primer corte, con extension predictiva planificada"
6,Que variable es la mas importante,"Offer_Received, por ser el resultado principal del embudo laboral (tasa global=34.23%)."
7,Que riesgo hay si se interpreta mal,Tomar correlaciones como causalidad y sobreasignar efecto a una sola variable
8,Que variables parecen mas relevantes y por que,"Second_Round_Interviews destaca en correlacion con Offer_Received (0.5492), junto con GPA y actividad en entrevistas."
9,Hay variables redundantes o inutiles,Student_ID no aporta poder explicativo para comportamiento; se conserva solo como identificador de trazabilidad.
10,Se evidencian sesgos en los datos,"Si, por diferencias de composicion entre categorias academicas y plataformas; se requiere validacion por subgrupos en modelado."
11,Que problemas de calidad detectan,No hay duplicados de ID; los faltantes se concentran en variables de oferta y son nulos estructurales esperados cuando Offer_Received=0.
12,Que pasa si no limpian los datos,Se pueden crear metricas falsas al imputar salario/tiempo en casos sin oferta y se sesga la interpretacion del embudo.
13,Que decisiones podrian alterar los resultados,"Imputar nulos estructurales, eliminar outliers reales sin criterio y codificar mal variables categoricas."
14,Estan perdiendo informacion al limpiar,La eliminacion de duplicados exactos minimiza perdida; se preservan outliers y nulos estructurales para no borrar senal valida.
15,Como se distribuyen los datos,GPA es relativamente concentrado; Applications_Submitted presenta cola derecha y mayor heterogeneidad de esfuerzo de busqueda.
16,Existen outliers y son error o informacion,"Si existen, por ejemplo en Applications_Submitted (outliers IQR=3.37%); se tratan como informacion valida."
17,Que relaciones entre variables son evidentes,Applications_Submitted y First_Round_Interviews muestran asociacion positiva (r=0.419).
18,Hay correlaciones fuertes y tienen sentido,"La mayor asociacion con Offer_Received es Second_Round_Interviews (r=0.5492), consistente con la logica del embudo."
19,Que patrones encontraron,La eficacia difiere por plataforma: brecha de 11.20 puntos porcentuales entre mejor y peor canal.
20,Que variables influyen mas,"Entrevistas de primera y segunda ronda, GPA y plataforma principal concentran mayor relacion con el resultado de oferta."
21,Que conclusiones reales se pueden sacar,No basta con aplicar mas; la conversion a entrevistas y el canal usado mejoran la probabilidad de oferta.
22,Que decisiones podrian tomarse,"Redistribuir esfuerzos de postulacion por canal, fortalecer acciones que elevan conversion a entrevistas y segmentar por major/rating."
23,Cual es el hallazgo mas importante,La diferencia de desempeno entre plataformas (11.20 pp) muestra oportunidad inmediata de optimizacion operativa.
24,Que resultado sorprendio,"La amplitud de salarios por major (brecha $21,061.75) incluso dentro de candidatos con oferta."
25,Que hipotesis pueden plantear,La calidad de conversion a entrevistas media la relacion entre volumen de aplicaciones y probabilidad de oferta.
26,Que harian como siguiente paso,"Entrenar dos modelos: clasificacion de Offer_Received y regresion de Offer_Salary, con validacion por subgrupos y control de sesgo."
